Type	ID	Earthquake_occurrenceTime	Epicenter_Lon	Epicenter_Lat	Epicenter_Mag	Epicenter_Depth	    EEW_Lon 	EEW_Lat	EEW_Mag	EEW_Dep EEW_processing_time 
xN	239	201703210313049 	121.9907	21.2455	4.63	168.78					
oY	240	201703291634002 	121.0212	22.5162	4.5	16.79	121.01	22.54	4.5	20	19
xY	241	201704131941011 	122.3985	25.167	5.55	171.26	122.14	24.99	4.6	80	38
xY	242	201704161834016 	120.6763	23.281	4.55	6.83	120.7	23.29	4.7	10	15
oY	243	201704300157022 	121.653	21.4075	6.07	122.28	121.58	21.7	6	70	38
xY	244	201705050507030 	121.5167	23.428	4.63	34.32	121.45	23.44	4.7	30	19
xN	245	201705051216051 	121.7802	21.386	4.63	147.24					
oY	246	201705090154014 	126.318	24.449	6	10	122.11	23.85	4.8	20	83
xY	247	201705091915049 	125.124	25.741	5.1	115.5	123.67	24.49	4.8	40	80
xY	248	201705152312054 	121.4328	23.2797	5.75	24.91	121.37	23.29	5.7	20	19
xN	249	201705161103000 	122.8453	25.0577	4.62	61.5					
xY	250	201705241310054 	120.5117	23.4193	5.13	12.43	120.51	23.42	5.1	10	14
xY	251	201705250548011 	120.515	23.42	4.7	11.78	120.51	23.41	4.6	10	14
oY	252	201705280731009 	122.9135	24.9053	4.65	139.57	122.84	24.75	4.5	70	46
xN	253	201705281929017 	122.6722	24.9067	4.81	13.91					
xN	254	201706041324046 	122.631	24.6308	5.16	20.71					
xY	255	201706150311006 	122.513	19.785	5.1	186.3	121.85	21.59	5.3	20	74
oY	256	201706152129018 	120.4053	22.6375	4.27	33.21	120.42	22.66	4.5	40	17
xN	257	201706201402030 	122.1813	21.2012	4.92	195.46					
oY	258	201706210725039 	121.9227	24.656	5.09	62.8	121.88	24.81	4.5	30	20
oY	259	201706301404002 	125.368	25.537	5.2	93.7	124.51	24.45	5.9	80	71
oY	260	201707112307036 	122.3838	24.487	4.44	61.66	123.38	24.22	5.1	10	26
xY	261	201707171916026 	121.5653	23.5858	4.66	35.22	121.54	23.59	4.5	20	20
oY	262	201707270708012 	121.4577	21.6223	5.18	92.24	121.42	21.99	4.7	20	43
xY	263	201707300100007 	120.5893	23.1867	4.2	8.36	120.61	23.2	4.5	10	18
xY	264	201708041119045 	123.543	24.4387	5.71	69.79	122.85	24.38	5.8	10	53
xY	265	201708091605036 	121.4335	23.5565	4.73	31.86	121.47	23.56	4.6	20	17
xY	266	201708110158054 	121.399	23.1883	4.97	21	121.36	23.22	4.9	20	18
xY	267	201708130008035 	121.2797	21.9992	5.15	59.12	121.29	21.93	5	80	27
xY	268	201709201429056 	121.7813	23.3162	5.85	28.98	121.58	23.39	5.8	40	22
xY	269	201709172239054 	121.5592	23.567	4.83	28.67	121.43	23.58	4.5	20	17
xY	270	201709110225041 	122.0608	24.7727	4.76	70.53	121.89	24.86	4.8	70	24
xY	271	201709021504018 	121.37	22.5683	4.62	36.6	121.3	22.53	4.6	50	24
xN	272	201709240549045 	122.2997	23.9903	4.65	23.27					
xN	273	201709272156039 	123.3887	24.9322	5.07	123					
xY	274	201710082329051 	121.4083	22.4248	4.79	23.23	121.39	22.41	5	20	25
xY	275	201710111845020 	122.4738	24.7783	5.22	114.26	122.03	24.74	4.6	80	27
xY	276	201710292315044 	122.3072	24.1203	5.17	26.82	122.32	24.03	5	20	28
xY	277	201711030248015 	120.9558	23.0268	4.66	6.61	120.94	23.02	4.5	10	15
xY	278	201711032334048 	121.5548	23.5528	5.29	29.98	121.49	23.58	5	20	17
xY	279	201711111114039 	120.7078	23.6385	4.6	15.34	120.71	23.64	4.9	10	13
xY	280	201711111222053 	120.7082	23.6357	5.2	14.91	120.71	23.64	5.5	10	13
xY	281	201711112254020 	122.005	24.6968	4.61	71.37	121.85	24.77	4.5	50	24
xY	282	201711221420009 	120.7217	23.5842	5.66	15.24	120.71	23.58	5.6	10	14
xY	283	201711232055032 	120.71	23.5898	5.03	16.41	120.72	23.59	4.7	10	13
xY	284	201711261843044 	121.6797	24.1597	4.46	32.59	121.7	24.13	4.5	20	34
xY	285	201711270403000 	120.7345	23.5855	4.31	13.12	120.72	23.59	4.5	30	20
xY	286	201712021605035 	122.6373	24.5365	4.55	88.83	123.04	24.47	4.6	40	39
xY	287	201712080344029 	122.4163	24.3565	5.29	79	122.74	24.31	5	40	34
xY	288	201712202240009 	122.5017	24.8177	4.05	106.71	122.64	24.82	4.5	60	40
xY	289	201712241514046 	120.7202	23.5873	4.3	16.55	120.72	23.55	4.5	40	13
xY	290	201801011922002 	121.2388	22.8625	4.28	8.84	121.25	22.84	4.5	10	26
xY	291	201801051630012 	122.003	24.8077	4.22	89.95	122.13	24.86	4.5	80	30
xY	292	201801170559011 	121.7182	25.0588	5.53	140.19	121.58	25	4.8	50	27
xY	293	201801261631028 	120.9885	22.9682	4.58	5.71	120.97	22.97	4.6	10	15
xY	294	201802031930057 	121.7027	24.1812	4.79	10.32	121.71	24.18	4.8	10	15
xY	295	201802031931052 	121.6997	24.1822	4.3	10.38	121.7	24.19	4.5	10	21
xY	296	201802041312052 	121.6992	24.2055	5.35	2.99	121.72	24.18	5.3	10	16
xY	297	201802041333009 	121.678	24.202	4.32	5.45	121.7	24.18	4.6	10	16
xY	298	201802041356040 	121.7437	24.1507	5.89	10.61	121.68	24.16	5.3	10	17
xN	299	201802041357042 	121.7058	24.1728	5.28	10.23					
xY	300	201802041410052 	121.6948	24.2293	4.94	3.73	121.74	24.19	4.9	10	16
xY	301	201802041412002 	121.7268	24.2295	4.76	3.96	121.76	24.2	4.7	10	17
xY	302	201802041413012 	121.7165	24.1505	5.58	10.34	121.72	24.16	5.4	10	23
xY	303	201802041416055 	121.6802	24.1772	4.98	3.75	121.71	24.16	5.1	10	17
xY	304	201802041533047 	121.7453	24.225	4.68	5.11	121.75	24.2	4.5	10	16
xY	305	201802050436053 	121.7168	24.1983	4.22	8.67	121.74	24.17	4.5	10	21
xY	306	201802050906042 	121.7762	24.1422	4.56	8.12	121.75	24.13	4.5	20	31
xY	307	201802050944054 	121.7447	24.0967	4.5	8.92	121.69	24.11	4.5	10	26
xY	308	201802051558041 	121.7352	24.1062	5.04	8.32	121.71	24.13	4.9	10	21
xY	309	201802051737013 	121.8118	24.1497	4.63	13.16	121.77	24.18	4.6	10	22
xY	310	201802060509014 	121.7195	24.186	5.09	10.73	121.75	24.17	5.2	10	16
xY	311	201802060836048 	121.774	24.078	4.58	6.69	121.77	24.08	4.5	10	23
xY	312	201802061550041 	121.7297	24.1007	6.26	6.31	121.69	24.15	6.4	10	18
xN	313	201802061551020 	121.5445	23.947	4.74	6.72					
xN	314	201802061551022 	121.6163	23.9915	4.87	6.49					
xN	315	201802061552032 	121.5902	24.0332	4.35	7.61					
xN	316	201802061553047 	121.5985	23.9618	4.95	5.48					
xN	317	201802061553054 	121.6468	24.1287	4.5	12.48					
xN	318	201802061554052 	121.623	24.0005	4.54	6.7					
xN	319	201802061559019 	121.6873	24.0992	4.11	7.96					
